NOMBRE,TELEFONO,CORREO,FECHA_ALTA,STATUS
"Hollis", "967-706-8224", "hcordall0@opera.com", "2023-05-25 15:09:04", true
"Gerta", "163-440-4753", "gsommerled1@state.gov", "2023-03-02 21:43:40", false
"Fair", "651-711-7552", "fcredland2@delicious.com", "2022-10-02 04:41:53", false
"Chalmers", "166-799-0538", "crothert3@dyndns.org", "2023-09-23 13:34:24", true
"Keslie", "250-995-1413", "ktolan4@telegraph.co.uk", "2023-11-26 14:03:38", false
"Cathee", "560-931-1161", "ctesdale5@google.co.jp", "2022-08-25 20:10:39", false
"Eran", "981-801-5969", "etumini6@twitter.com", "2023-11-10 05:38:37", false
"Allard", "216-503-3369", "agourlie7@t.co", "2024-01-19 13:12:07", false
"Jordan", "744-376-9717", "jaird8@lycos.com", "2022-08-27 12:36:29", false
"Roxi", "701-532-2107", "rcharleston9@ft.com", "2022-11-21 07:44:28", true
"Elisabetta", "347-880-1828", "edoumerquea@cpanel.net", "2024-01-27 03:23:11", true
"Benetta", "837-178-4468", "bdigiacomettinob@gmpg.org", "2023-12-04 17:46:20", true
"Antonietta", "162-167-0920", "alibbisc@shareasale.com", "2023-04-29 18:32:52", true
"Jessica", "370-391-8779", "jgleadled@diigo.com", "2022-11-28 10:42:01", true
"Gayleen", "466-893-5455", "gelcockse@moonfruit.com", "2023-03-05 08:30:24", true
"Andras", "681-620-3777", "alawlesf@myspace.com", "2023-07-22 20:01:46", false
"Minne", "514-770-6108", "mlangsdong@microsoft.com", "2022-11-03 19:34:19", true
"Sharai", "923-411-5751", "spettih@desdev.cn", "2023-12-13 11:24:51", false
"Con", "937-323-1531", "cdobrowlskii@weebly.com", "2022-11-20 15:53:36", false
"Leontine", "587-554-6064", "lgilhouleyj@fotki.com", "2022-10-03 18:54:58", false
"Trix", "659-248-3079", "twellingtonk@sogou.com", "2022-07-13 22:19:31", false
"Virgil", "507-266-3672", "vbuckinghaml@soup.io", "2022-11-26 23:13:06", true
"Pip", "268-257-4864", "plitzmannm@ameblo.jp", "2023-10-02 05:26:51", false
"Raleigh", "261-748-6146", "rtoplissn@mail.ru", "2024-03-19 03:27:48", true
"Corrie", "856-496-8743", "cswaneo@mozilla.org", "2022-11-24 16:44:02", true
"Danice", "494-967-9361", "dauchinleckp@so-net.ne.jp", "2023-03-29 12:30:42", false
"Cory", "181-736-7732", "cgavriellyq@wsj.com", "2022-11-11 05:54:10", true
"Jorey", "622-224-7304", "jclamptonr@state.gov", "2023-03-20 10:14:15", false
"Kerstin", "956-218-4236", "ksayles@shop-pro.jp", "2023-03-25 09:58:11", true
"Marti", "961-939-1152", "mmatousekt@canalblog.com", "2023-12-13 19:08:56", true
"Martainn", "773-432-6945", "mobyu@go.com", "2023-03-04 19:51:54", true
"Helena", "132-101-2773", "hmchalev@tiny.cc", "2022-09-14 20:07:28", false
"Helen-elizabeth", "802-603-7137", "hkingsnoadw@shop-pro.jp", "2023-12-12 22:59:19", false
"Hammad", "983-686-6523", "hreddellx@blogs.com", "2024-03-08 06:36:28", true
"Krispin", "208-481-8016", "klancetty@ed.gov", "2023-08-20 15:43:21", true
"Rozelle", "856-673-7657", "rlushz@miitbeian.gov.cn", "2023-11-14 11:59:27", false
"Cassie", "736-967-4858", "csuston10@google.ca", "2023-05-15 17:38:45", false
"Nettie", "612-773-6410", "nstollen11@bloglovin.com", "2023-09-08 06:48:36", true
"Cherry", "873-448-0185", "cbroom12@xrea.com", "2023-08-10 10:54:18", false
"Reid", "516-263-7551", "rerwin13@berkeley.edu", "2023-05-21 05:39:48", true
"Tessy", "809-355-1893", "tgoldby14@shinystat.com", "2022-07-21 05:28:22", true
